id,scenario,measured_at,elapsed_sec,delta_tasks,delta_wait_ms,avg_wait_per_commit_ms,commits_per_sec,theoretical_max_tps
1,동기모드_1G_NIC,2026-05-14 07:50:46.734,1,32012,15335,0.4790391103336249,32012,2087.5122269318554
2,동기모드_1G_NIC,2026-05-14 07:50:47.734,2,28075,15660,0.55779162956366879,28075,1792.7841634738186
3,동기모드_1G_NIC,2026-05-14 07:50:48.734,3,24433,16331,0.66839929603405235,24433,1496.1116894250199
4,동기모드_1G_NIC,2026-05-14 07:50:49.749,4,22631,16283,0.71949980115770407,22631,1389.8544494257815
5,동기모드_1G_NIC,2026-05-14 07:50:50.749,5,23196,16463,0.70973443697189176,23196,1408.9777075867096
6,동기모드_1G_NIC,2026-05-14 07:50:51.749,6,20468,16626,0.81229235880398676,20468,1231.0838445807769
7,동기모드_1G_NIC,2026-05-14 07:50:52.749,7,22300,16474,0.73874439461883412,22300,1353.6481728784752
8,동기모드_1G_NIC,2026-05-14 07:50:53.749,8,23142,16425,0.70974850920404464,23142,1408.9497716894975
9,동기모드_1G_NIC,2026-05-14 07:50:54.749,9,23168,16568,0.71512430939226523,23168,1398.3582810236601
10,동기모드_1G_NIC,2026-05-14 07:50:55.750,10,23129,16570,0.71641661982792171,23129,1395.835847917924
11,동기모드_1G_NIC,2026-05-14 07:50:56.750,11,22285,16210,0.72739510881759029,22285,1374.7686613201727
12,동기모드_1G_NIC,2026-05-14 07:50:57.765,12,23319,16388,0.70277456151636009,23319,1422.931413229192
13,동기모드_1G_NIC,2026-05-14 07:50:58.765,13,23101,16378,0.70897363750486997,23101,1410.4896812797654
14,동기모드_1G_NIC,2026-05-14 07:50:59.765,14,23130,16608,0.71802853437094682,23130,1392.7023121387283
15,동기모드_1G_NIC,2026-05-14 07:51:00.765,15,23364,16633,0.71190720766991955,23364,1404.6774484458606
16,동기모드_1G_NIC,2026-05-14 07:51:01.765,16,20189,16745,0.82941205607013724,20189,1205.6733353239772
17,동기모드_1G_NIC,2026-05-14 07:51:02.765,17,23351,16486,0.70600830799537495,23351,1416.4139269683367
18,동기모드_1G_NIC,2026-05-14 07:51:03.765,18,23092,16476,0.71349385068421967,23092,1401.5537751881525
19,동기모드_1G_NIC,2026-05-14 07:51:04.765,19,23073,16244,0.70402635114636158,23073,1420.4013789706969
20,동기모드_1G_NIC,2026-05-14 07:51:05.781,20,22759,16415,0.72125313062964103,22759,1386.4757843435882
21,동기모드_1G_NIC,2026-05-14 07:51:06.781,21,23080,16555,0.71728769497400346,23080,1394.1407429779522
22,동기모드_1G_NIC,2026-05-14 07:51:07.781,22,22670,16536,0.72942214380238202,22670,1370.9482341557814
23,동기모드_1G_NIC,2026-05-14 07:51:08.781,23,23211,16491,0.71048209900478221,23211,1407.4949972712388
24,동기모드_1G_NIC,2026-05-14 07:51:09.781,24,22903,16448,0.71815919311880538,22903,1392.4489299610896
25,동기모드_1G_NIC,2026-05-14 07:51:10.781,25,22879,16314,0.71305564054373005,22879,1402.415103592007
26,동기모드_1G_NIC,2026-05-14 07:51:11.781,26,21450,16789,0.7827039627039627,21450,1277.6222526654358
27,동기모드_1G_NIC,2026-05-14 07:51:12.781,27,23042,16605,0.72064056939501775,23042,1387.6543209876545
28,동기모드_1G_NIC,2026-05-14 07:51:13.796,28,23118,16401,0.70944718401245788,23118,1409.5481982805925
29,동기모드_1G_NIC,2026-05-14 07:51:14.796,29,22092,16498,0.74678616693825817,22092,1339.0714025942539
30,동기모드_1G_NIC,2026-05-14 07:51:15.796,30,22848,16428,0.71901260504201681,22848,1390.7962016070123
31,동기모드_1G_NIC,2026-05-14 07:51:16.796,31,21854,16590,0.75912876361306858,21854,1317.2995780590716
32,동기모드_1G_NIC,2026-05-14 07:51:17.796,32,22100,16368,0.74063348416289598,22100,1350.1955034213097
33,동기모드_1G_NIC,2026-05-14 07:51:18.796,33,23531,16630,0.70672729590752625,23531,1414.9729404690318
34,동기모드_1G_NIC,2026-05-14 07:51:19.796,34,22965,16650,0.72501632919660353,22965,1379.2792792792793
35,동기모드_1G_NIC,2026-05-14 07:51:20.796,35,15623,13993,0.89566664533060236,15623,1116.4868148359894
36,동기모드_1G_NIC,2026-05-14 07:51:21.796,36,22621,16446,0.72702356217673847,22621,1375.4712392071019
37,동기모드_1G_NIC,2026-05-14 07:51:22.812,37,22661,16638,0.73421296500595734,22661,1362.0026445486237
38,동기모드_1G_NIC,2026-05-14 07:51:23.812,38,22479,16636,0.74006850838560434,22479,1351.2262563116133
39,동기모드_1G_NIC,2026-05-14 07:51:24.812,39,22720,16322,0.71839788732394361,22720,1391.9862761916434
40,동기모드_1G_NIC,2026-05-14 07:51:25.812,40,22999,16522,0.71837905995912865,22999,1392.0227575354074
41,동기모드_1G_NIC,2026-05-14 07:51:26.812,41,22507,16459,0.73128360065757325,22507,1367.4585333252323
42,동기모드_1G_NIC,2026-05-14 07:51:27.812,42,22796,16457,0.72192489910510615,22796,1385.1856352919731
43,동기모드_1G_NIC,2026-05-14 07:51:28.812,43,22696,16527,0.72818998942544944,22696,1373.2679857203364
44,동기모드_1G_NIC,2026-05-14 07:51:29.827,44,23353,16626,0.71194279107609304,23353,1404.6072416696738
45,동기모드_1G_NIC,2026-05-14 07:51:30.827,45,23089,16755,0.725670232578284,23089,1378.0364070426738
46,동기모드_1G_NIC,2026-05-14 07:51:31.827,46,22206,16181,0.72867693416193824,22206,1372.3502873740806
47,동기모드_1G_NIC,2026-05-14 07:51:32.827,47,22858,16209,0.70911715810657105,22858,1410.2042075390214
48,동기모드_1G_NIC,2026-05-14 07:51:33.828,48,23308,16530,0.70919855843487212,23308,1410.042347247429
49,동기모드_1G_NIC,2026-05-14 07:51:34.827,49,23362,16527,0.70743087064463661,23362,1413.5656804017667
50,동기모드_1G_NIC,2026-05-14 07:51:35.827,50,23353,16674,0.71399820151586524,23353,1400.5637519491422
51,동기모드_1G_NIC,2026-05-14 07:51:36.827,51,23062,16505,0.71567947272569599,23062,1397.2735534686458
52,동기모드_1G_NIC,2026-05-14 07:51:37.843,52,22009,16441,0.74701258576037077,22009,1338.6655312937169
53,동기모드_1G_NIC,2026-05-14 07:51:38.843,53,22771,16508,0.72495718238109874,22771,1379.3918100315
54,동기모드_1G_NIC,2026-05-14 07:51:39.843,54,23054,16682,0.72360544807842453,23054,1381.9685888982137
55,동기모드_1G_NIC,2026-05-14 07:51:40.843,55,23110,16492,0.71363046300302901,23110,1401.2854717438759
56,동기모드_1G_NIC,2026-05-14 07:51:41.843,56,22490,16547,0.73574922187638947,22490,1359.1587598960537
